ts,stage,frame_id,dt_ms,fps,cpu_pct,mem_pct,forwarded
1757810037.480,sample_decision,32,0.0,,0.0,2.7,32
1757810037.537,capture,33,57.3,,1.6,2.7,33
1757810037.547,detect,33,9.3,,10.3,2.7,33
1757810037.547,sample_decision,33,0.0,,0.0,2.7,33
1757810037.604,capture,34,57.0,,3.2,2.7,34
1757810037.613,detect,34,9.1,,16.1,2.7,34
1757810037.613,sample_decision,34,0.0,,0.0,2.7,34
1757810037.670,capture,35,56.9,,2.2,2.7,35
1757810037.679,detect,35,9.0,,10.3,2.7,35
1757810037.680,sample_decision,35,0.0,,0.0,2.7,35
1757810037.737,capture,36,57.6,,2.2,2.7,36
1757810037.747,detect,36,9.1,,10.3,2.7,36
1757810037.747,sample_decision,36,0.0,,0.0,2.7,36
1757810037.804,capture,37,57.0,,1.6,2.7,37
1757810037.813,detect,37,9.0,,16.1,2.7,37
1757810037.813,sample_decision,37,0.0,,0.0,2.7,37
1757810037.870,capture,38,56.8,,3.3,2.7,38
1757810037.879,detect,38,9.0,,13.8,2.7,38
1757810037.880,sample_decision,38,0.0,,0.0,2.7,38
1757810037.937,capture,39,57.6,,1.6,2.7,39
1757810037.947,detect,39,9.2,,10.3,2.7,39
1757810037.947,sample_decision,39,0.0,,0.0,2.7,39
1757810038.004,capture,40,56.7,,2.2,2.7,40
1757810038.013,detect,40,9.1,,16.7,2.7,40
1757810038.013,sample_decision,40,0.0,,0.0,2.7,40
1757810038.070,capture,41,57.0,,3.3,2.7,41
1757810038.080,detect,41,9.2,,10.3,2.7,41
1757810038.080,sample_decision,41,0.0,,0.0,2.7,41
1757810038.137,capture,42,57.1,,1.1,2.7,42
1757810038.146,detect,42,9.2,,10.3,2.7,42
1757810038.147,sample_decision,42,0.0,,0.0,2.7,42
1757810038.203,capture,43,56.8,,2.2,2.7,43
1757810038.213,detect,43,9.1,,13.8,2.7,43
1757810038.213,sample_decision,43,0.0,,0.0,2.7,43
1757810038.270,capture,44,57.0,,2.2,2.7,44
1757810038.280,detect,44,9.3,,10.3,2.7,44
1757810038.280,sample_decision,44,0.0,,0.0,2.7,44
1757810038.337,capture,45,57.0,,0.6,2.7,45
1757810038.346,detect,45,9.2,,16.7,2.7,45
1757810038.346,sample_decision,45,0.0,,0.0,2.7,45
1757810038.404,capture,46,57.4,,2.2,2.7,46
1757810038.413,detect,46,9.2,,16.1,2.7,46
1757810038.413,sample_decision,46,0.0,,0.0,2.7,46
1757810038.470,capture,47,57.0,,1.6,2.7,47
1757810038.480,detect,47,9.1,,13.8,2.7,47
1757810038.480,sample_decision,47,0.0,,0.0,2.7,47
1757810038.537,capture,48,56.9,,2.2,2.7,48
1757810038.546,detect,48,9.1,,13.3,2.7,48
1757810038.546,sample_decision,48,0.0,,0.0,2.7,48
1757810038.603,capture,49,56.9,,2.2,2.7,49
1757810038.613,detect,49,9.2,,13.3,2.7,49
1757810038.613,sample_decision,49,0.0,,0.0,2.7,49
1757810038.670,capture,50,56.9,,2.7,2.7,50
1757810038.679,detect,50,9.1,,13.8,2.7,50
1757810038.680,sample_decision,50,0.0,,0.0,2.7,50
1757810038.737,capture,51,57.0,,1.1,2.7,51
1757810038.746,detect,51,9.2,,18.8,2.7,51
1757810038.746,sample_decision,51,0.0,,0.0,2.7,51
1757810038.804,capture,52,57.4,,3.2,2.7,52
1757810038.813,detect,52,9.2,,13.3,2.7,52
1757810038.813,sample_decision,52,0.0,,0.0,2.7,52
1757810038.871,capture,53,57.6,,2.2,2.7,53
1757810038.880,detect,53,9.2,,13.3,2.7,53
1757810038.880,sample_decision,53,0.0,,0.0,2.7,53
1757810038.937,capture,54,56.5,,1.7,2.7,54
1757810038.946,detect,54,9.2,,10.3,2.7,54
1757810038.947,sample_decision,54,0.0,,0.0,2.7,54
1757810039.003,capture,55,56.8,,3.8,2.7,55
1757810039.013,detect,55,9.5,,16.1,2.7,55
1757810039.013,sample_decision,55,0.0,,0.0,2.7,55
