ts,stage,frame_id,dt_ms,fps,cpu_pct,mem_pct,forwarded
1757771818.385,sample_decision,32,0.0,,0.0,2.5,32
1757771818.418,capture,33,1.9,,3.7,2.5,33
1757771818.428,detect,33,9.5,,12.9,2.5,33
1757771818.428,sample_decision,33,0.0,,0.0,2.5,33
1757771818.453,capture,34,1.7,,6.0,2.5,34
1757771818.463,detect,34,9.3,,10.3,2.5,34
1757771818.463,sample_decision,34,0.0,,0.0,2.5,34
1757771818.488,capture,35,1.7,,3.7,2.5,35
1757771818.498,detect,35,9.5,,18.2,2.5,35
1757771818.498,sample_decision,35,0.0,,0.0,2.5,35
1757771818.523,capture,36,1.9,,2.5,2.5,36
1757771818.532,detect,36,9.5,,12.9,2.5,36
1757771818.533,sample_decision,36,0.0,,0.0,2.5,36
1757771818.557,capture,37,2.0,,2.5,2.5,37
1757771818.567,detect,37,9.6,,12.9,2.5,37
1757771818.567,sample_decision,37,0.0,,0.0,2.5,37
1757771818.592,capture,38,2.1,,2.5,2.5,38
1757771818.602,detect,38,9.4,,16.1,2.5,38
1757771818.602,sample_decision,38,0.0,,0.0,2.5,38
1757771818.627,capture,39,1.8,,2.5,2.5,39
1757771818.637,detect,39,9.7,,18.2,2.5,39
1757771818.637,sample_decision,39,0.0,,0.0,2.5,39
1757771818.661,capture,40,1.8,,2.6,2.5,40
1757771818.671,detect,40,9.7,,15.6,2.5,40
1757771818.671,sample_decision,40,0.0,,0.0,2.5,40
1757771818.696,capture,41,2.1,,3.7,2.5,41
1757771818.706,detect,41,9.5,,10.0,2.5,41
1757771818.706,sample_decision,41,0.0,,0.0,2.5,41
1757771818.731,capture,42,2.1,,2.5,2.5,42
1757771818.741,detect,42,9.6,,18.2,2.5,42
1757771818.741,sample_decision,42,0.0,,0.0,2.5,42
1757771818.766,capture,43,2.1,,2.5,2.5,43
1757771818.775,detect,43,9.5,,13.3,2.5,43
1757771818.776,sample_decision,43,0.0,,0.0,2.5,43
1757771818.800,capture,44,2.0,,3.8,2.5,44
1757771818.810,detect,44,9.5,,13.3,2.5,44
1757771818.810,sample_decision,44,0.0,,0.0,2.5,44
1757771818.834,capture,45,1.8,,3.8,2.5,45
1757771818.844,detect,45,9.7,,12.9,2.5,45
1757771818.844,sample_decision,45,0.0,,0.0,2.5,45
1757771818.869,capture,46,1.9,,3.8,2.5,46
1757771818.878,detect,46,9.5,,10.0,2.5,46
1757771818.878,sample_decision,46,0.0,,0.0,2.5,46
1757771818.904,capture,47,2.1,,3.7,2.5,47
1757771818.914,detect,47,9.7,,18.2,2.5,47
1757771818.914,sample_decision,47,0.0,,0.0,2.5,47
